UMAP1,UMAP2,cell_type,anatomical_division_label
5.3596106,15.580373,Astrocyte_2,Hypothalamus
12.712593,1.9932747,Astrocyte,Thalamus
-1.5292063,5.289439,Activated Microglia,Midbrain
3.7997105,-8.85672,Unknown,Pons
1.1973623,-7.290428,Unknown,Cerebellum
2.1233933,2.7059631,Activated Microglia,Cerebral cortex
1.3727732,4.209799,Activated Microglia,Hippocampus
0.97937536,5.9392753,Activated Microglia,Midbrain
3.1553912,-8.571969,Unknown,Thalamus
13.06886,3.9325278,Astrocyte,Pons
1.5881377,15.958529,Pericyte,Cerebral cortex
4.63216,4.725209,Activated Microglia,Claustrum
2.3220363,-2.1134412,Oligodendrocyte,Thalamus
3.8425255,5.0819345,Activated Microglia,Basal forebrain
-0.73694324,3.4244173,Activated Microglia,Cerebral cortex
-0.85941094,13.522915,Pericyte,Myelencephalon
-0.6307274,14.51069,Pericyte,Cerebellum
0.8423939,-0.5593915,Oligodendrocyte,Thalamus
3.1383803,0.6349913,Oligodendrocyte,Midbrain
2.9657793,-8.663652,Unknown,Thalamus
1.2013006,15.339449,Pericyte,Amygdaloid complex
2.175578,-0.8034609,Oligodendrocyte,Cerebral cortex
0.301212,14.629402,Pericyte,Midbrain
0.47948232,14.236786,Pericyte,Spinal cord
5.5275307,12.888625,Astrocyte_2,Hippocampus
2.8113623,5.617693,Activated Microglia,Thalamus
1.4540538,-0.63072973,Oligodendrocyte,Cerebellum
-3.554661,3.6064985,Activated Microglia,Pons
3.8595436,3.186372,Activated Microglia,Hippocampus
12.6866455,0.5197119,Astrocyte,Midbrain
-0.012999114,7.4198112,Activated Microglia,Thalamus
3.9458275,4.94818,Activated Microglia,Cerebral cortex
5.1179857,13.997899,Astrocyte_2,Claustrum
3.6337836,2.3773968,Oligodendrocyte,Hippocampus
3.26821,0.552486,Oligodendrocyte,Midbrain
12.796135,2.843749,Astrocyte,Midbrain
-1.4617513,7.139723,Activated Microglia,Midbrain
-3.0121088,7.5122075,Activated Microglia,Midbrain
3.0406618,-6.881396,Unknown,Cerebral cortex
1.9187821,-7.872241,Unknown,Hypothalamus
4.892574,15.140999,Astrocyte_2,Amygdaloid complex
3.1572788,3.48799,Activated Microglia,Hippocampus
3.5104275,0.84992224,Oligodendrocyte,Thalamus
-1.9212693,18.179577,Unknown,Myelencephalon
2.3714087,1.0810372,Oligodendrocyte,Midbrain
-1.9227018,0.586378,Endothelial,Thalamus
2.8969512,5.9995923,Activated Microglia,Thalamus
2.8740473,14.958163,Astrocyte_2,Hippocampus
3.3608267,3.5734615,Activated Microglia,Cerebral cortex
2.7145374,13.692588,Astrocyte_2,Cerebral cortex
5.5659027,12.860915,Astrocyte_2,Cerebral cortex
8.785707,7.420827,Fibroblast,Midbrain
2.912948,13.952268,Astrocyte_2,Cerebral cortex
1.6644787,-9.262397,Unknown,Cerebral cortex
-1.9509499,0.62938213,Endothelial,Midbrain
0.7779467,-9.862353,Unknown,Hippocampus
-2.520325,3.0085995,Activated Microglia,Thalamus
0.15053442,14.133624,Pericyte,Thalamus
-3.5168195,6.5139894,Activated Microglia,Midbrain
-3.7189023,3.8723934,Activated Microglia,Myelencephalon
-2.3034341,2.678992,Activated Microglia,Hippocampus
1.9140779,5.307576,Activated Microglia,Thalamus
1.342711,3.928405,Activated Microglia,Amygdaloid complex
0.9598784,-10.0891,Unknown,Hippocampus
3.7402186,-8.551146,Unknown,Midbrain
5.1152663,15.334569,Astrocyte_2,Amygdaloid complex
1.6200614,2.3672853,Activated Microglia,Hippocampus
13.107119,1.0433103,Astrocyte,Basal nuclei
9.387123,9.749539,Choroid Plexus,Thalamus
-2.4571517,1.2802134,Endothelial,Thalamus
-4.546799,3.4436853,Endothelial,Hypothalamus
11.45086,0.9238072,Astrocyte,Basal nuclei
-0.2305945,13.028251,Pericyte,Thalamus
0.16937768,16.705488,Pericyte,Hypothalamus
-1.2567887,-0.6393668,Oligodendrocyte,Myelencephalon
11.236008,0.9143747,Astrocyte,Basal nuclei
12.877282,3.8007581,Astrocyte,Cerebral cortex
11.125784,1.0342677,Astrocyte,Thalamus
2.591523,6.280042,Activated Microglia,Thalamus
1.9733572,-0.6240622,Oligodendrocyte,Thalamus
2.9218783,20.34124,Ependymal,Cerebellum
-1.00608,0.96988416,Endothelial,Thalamus
5.1924586,13.753068,Astrocyte_2,Claustrum
3.0591133,20.476618,Ependymal,Cerebellum
-3.413972,3.613593,Activated Microglia,Cerebellum
5.447165,14.615443,Astrocyte_2,Hippocampus
-0.054573298,-0.8031062,Oligodendrocyte,Myelencephalon
-0.45897743,1.5657837,Activated Microglia,Midbrain
-2.3909607,13.438475,Pericyte,Midbrain
-1.0045944,2.7047946,Endothelial,Thalamus
-2.4696634,2.424002,Endothelial,Cerebellum
0.29172218,3.16414,Activated Microglia,Amygdaloid complex
-3.307831,1.2842909,Endothelial,Pons
2.3345788,1.6142824,Oligodendrocyte,Amygdaloid complex
-2.1363134,3.1223981,Activated Microglia,Hypothalamus
1.9113537,-0.6733338,Oligodendrocyte,Pons
3.078113,1.5037631,Oligodendrocyte,Cerebral cortex
2.8423917,-7.9405394,Unknown,Cerebellum
3.1576986,4.5831585,Activated Microglia,Midbrain
1.3543334,5.3035173,Activated Microglia,Thalamus
1.646714,4.118124,Activated Microglia,Cerebral cortex
3.2587085,-8.002883,Unknown,Midbrain
-0.73373437,6.112982,Activated Microglia,Midbrain
-0.27057955,4.1924367,Activated Microglia,Spinal cord
-2.0692081,5.318222,Activated Microglia,Midbrain
2.5102057,-0.50158185,Oligodendrocyte,Midbrain
1.2759504,-8.944438,Unknown,Basal forebrain
0.49067345,-1.8592075,Oligodendrocyte,Pons
1.7771105,-1.6520588,Oligodendrocyte,Thalamus
2.2074478,2.9787893,Endothelial,Hippocampus
3.4400432,4.269865,Activated Microglia,Hippocampus
0.4123015,1.8423184,Endothelial,Midbrain
0.005478509,12.595078,Pericyte,Basal forebrain
1.3639997,-0.6307926,Oligodendrocyte,Cerebral cortex
0.38537124,15.969084,Pericyte,Spinal cord
3.137094,15.075653,Astrocyte_2,Hippocampus
1.1504134,-9.585195,Unknown,Hippocampus
5.9979186,13.19392,Astrocyte_2,Cerebral cortex
0.08429587,-0.8218607,Oligodendrocyte,Spinal cord
2.4128294,-8.192564,Unknown,Spinal cord
-1.7987183,1.2683324,Oligodendrocyte,Midbrain
-0.86746114,11.7071905,Pericyte,Pons
-1.9130917,1.62428,Endothelial,Basal nuclei
0.5498371,12.983112,Pericyte,Pons
1.7410756,4.8925486,Activated Microglia,Hippocampus
2.842411,13.935611,Astrocyte_2,Claustrum
2.5263207,-0.81673753,Oligodendrocyte,Claustrum
-1.1562002,0.904974,Endothelial,Basal nuclei
-2.2504823,4.3711553,Activated Microglia,Pons
3.0961437,20.779875,Ependymal,Cerebellum
1.6618042,3.7116182,Endothelial,Hippocampus
2.3551857,5.0008216,Activated Microglia,Thalamus
1.6849097,5.3307786,Activated Microglia,Thalamus
1.7200984,0.56699693,Oligodendrocyte,Midbrain
-2.8112917,5.8093987,Activated Microglia,Midbrain
13.592841,1.780081,Astrocyte,Midbrain
0.2127214,-8.208363,Unknown,Amygdaloid complex
11.801059,8.514903,Fibroblast,Pons
-0.1954194,6.3682246,Activated Microglia,Pons
-0.2462134,-8.426658,Unknown,Amygdaloid complex
-2.3125305,3.8624027,Activated Microglia,Pons
1.6445205,-1.7532947,Oligodendrocyte,Basal nuclei
-0.52564526,-9.471343,Unknown,Cerebral cortex
3.8506627,15.948913,Astrocyte_2,Hypothalamus
2.3460464,0.32136545,Oligodendrocyte,Midbrain
2.7521098,4.071996,Activated Microglia,Thalamus
4.865517,14.202197,Astrocyte_2,Hippocampus
9.819183,6.948349,Fibroblast,Basal forebrain
3.2948554,5.238388,Activated Microglia,Thalamus
1.9150417,-2.1376102,Oligodendrocyte,Midbrain
2.1029449,3.475214,Endothelial,Thalamus
0.34451857,3.820286,Activated Microglia,Pons
2.7795317,3.1547816,Activated Microglia,Amygdaloid complex
-1.3699559,1.7244836,Endothelial,Basal forebrain
-1.0112802,11.669038,Pericyte,Thalamus
-4.0128317,3.745615,Activated Microglia,Pons
12.366682,4.891184,Astrocyte,Amygdaloid complex
-0.5813886,-9.466721,Unknown,Amygdaloid complex
-2.8979275,12.473699,Pericyte,Thalamus
1.483269,3.3590186,Endothelial,Thalamus
4.99505,15.771583,Astrocyte_2,Basal nuclei
0.82070506,5.1946845,Activated Microglia,Hippocampus
3.2718801,-0.99938315,Oligodendrocyte,Basal nuclei
1.8647614,0.2344241,Oligodendrocyte,Basal nuclei
12.803193,2.4172933,Astrocyte,Pons
2.5729437,-7.4318075,Unknown,Myelencephalon
11.614263,2.592145,Astrocyte,Hypothalamus
1.5635575,14.591972,Pericyte,Hippocampus
4.0693026,-8.95958,Unknown,Thalamus
5.0084553,13.624475,Astrocyte_2,Cerebral cortex
-0.95958203,6.1184735,Activated Microglia,Spinal cord
-0.17583726,2.8863914,Activated Microglia,Cerebral cortex
-1.8277384,2.5630853,Activated Microglia,Midbrain
0.30786029,-8.998337,Unknown,Cerebral cortex
2.0963943,6.23273,Activated Microglia,Thalamus
-0.6520638,2.959381,Endothelial,Midbrain
12.946489,1.3020077,Astrocyte,Thalamus
-2.6101248,1.487857,Endothelial,Pons
-3.8085637,2.7060988,Endothelial,Pons
0.50669193,3.7520442,Activated Microglia,Hippocampus
2.2305655,-1.6059864,Oligodendrocyte,Cerebral cortex
4.8805804,15.583187,Astrocyte_2,Amygdaloid complex
-0.6914821,5.5668087,Activated Microglia,Hippocampus
2.2400818,15.5154,Astrocyte_2,Hippocampus
0.13922113,-9.09769,Unknown,Hippocampus
0.95807016,-9.777213,Unknown,Hippocampus
1.9241496,2.2097611,Activated Microglia,Midbrain
1.1236415,0.053070866,Oligodendrocyte,Midbrain
-1.9003321,-0.11472621,Endothelial,Hippocampus
0.8381684,3.6522255,Activated Microglia,Cerebral cortex
2.1108947,-2.179074,Oligodendrocyte,Midbrain
-2.933232,13.77316,Pericyte,Basal nuclei
2.035387,-9.649228,Unknown,Cerebral cortex
4.2137456,13.696823,Astrocyte_2,Cerebral cortex
1.3290061,14.346167,Pericyte,Cerebral cortex
6.5257893,14.347067,Astrocyte_2,Cerebral cortex
9.481841,0.67363733,nan,Cerebral cortex
-0.58532214,2.2441015,Endothelial,Cerebral cortex
3.188516,-0.2652489,Oligodendrocyte,Cerebral cortex
3.6595628,-7.7660418,Unknown,Spinal cord
-3.1206956,1.008672,Endothelial,Amygdaloid complex
-0.24073464,1.4064085,Endothelial,Thalamus
-2.301376,1.8659667,Endothelial,Myelencephalon
1.0040706,-0.64326215,Oligodendrocyte,Midbrain
14.0175295,3.2728415,Astrocyte,Cerebral cortex
-0.56136763,-1.3502496,Oligodendrocyte,Myelencephalon
-0.7000242,2.9724376,Activated Microglia,Hippocampus
3.8532417,-9.02803,Unknown,Cerebral cortex
0.86310196,0.023903517,Oligodendrocyte,Pons
11.585592,1.5695028,Astrocyte,Basal nuclei
0.8911696,2.3753896,Activated Microglia,Hippocampus
2.991043,20.507626,Ependymal,Cerebellum
-1.5799726,14.084081,Pericyte,Midbrain
-0.103995666,16.90357,Pericyte,Hypothalamus
3.4290502,4.292041,Activated Microglia,Cerebral cortex
0.40038884,3.1970527,Activated Microglia,Cerebral cortex
6.1729646,14.731036,Astrocyte_2,Cerebral cortex
-2.1582916,2.764595,Activated Microglia,Basal nuclei
14.01307,1.8398998,Astrocyte,Cerebral cortex
2.533768,14.971787,Astrocyte_2,Hippocampus
-1.451178,4.363727,Activated Microglia,Hippocampus
3.459966,5.1425734,Activated Microglia,Thalamus
11.866016,3.1715689,Astrocyte,Cerebral cortex
0.68951416,14.154495,Pericyte,Pons
3.443443,-9.002328,Unknown,Thalamus
5.411567,12.493192,Astrocyte_2,Cerebral cortex
-1.2226679,0.88626516,Endothelial,Basal nuclei
5.547646,13.644308,Astrocyte_2,Cerebral cortex
3.362018,-8.302811,Unknown,Thalamus
0.92663676,14.750426,Pericyte,Basal forebrain
12.211654,3.2409325,Astrocyte,Cerebellum
-0.5042424,13.783115,Pericyte,Basal nuclei
2.0235474,0.3393327,Oligodendrocyte,Thalamus
-1.3298146,11.712168,Pericyte,Thalamus
2.878306,4.0364256,Activated Microglia,Pons
-1.808919,3.1542046,Endothelial,Basal forebrain
2.516927,-1.2037821,Oligodendrocyte,Basal nuclei
2.5317326,3.9727166,Activated Microglia,Midbrain
2.6631367,21.007675,Ependymal,Cerebellum
1.8939008,5.5726123,Activated Microglia,Basal forebrain
-2.0657468,1.3184086,Endothelial,Thalamus
4.0907383,2.016233,Oligodendrocyte,Midbrain
12.114518,4.271117,Astrocyte,Hippocampus
3.4404304,-0.88493943,Oligodendrocyte,Midbrain
-2.955503,2.909591,Endothelial,Midbrain
0.8382819,6.989818,Activated Microglia,Thalamus
-1.4720289,5.045087,Activated Microglia,Pons
0.5498334,12.991327,Pericyte,Pons
-0.503607,14.441425,Pericyte,Pons
1.254443,15.696741,Pericyte,Cerebral cortex
12.422773,3.8684304,Astrocyte,Hippocampus
3.234243,0.029579805,Oligodendrocyte,Cerebral cortex
-2.0336607,0.50752425,Endothelial,Midbrain
3.2396176,5.667517,Activated Microglia,Thalamus
12.217464,3.2650845,Astrocyte,Cerebral cortex
-0.27417314,7.4099045,Activated Microglia,Thalamus
-3.1395373,19.030361,Unknown,Basal forebrain
1.6981968,-2.38588,Oligodendrocyte,Pons
4.478808,14.569159,Astrocyte_2,Cerebral cortex
11.154283,1.3407286,Astrocyte,Basal nuclei
12.645058,4.00857,Astrocyte,Pons
1.114991,2.9611342,Endothelial,Amygdaloid complex
1.3440437,4.3593802,Activated Microglia,Midbrain
-1.898905,7.742082,Activated Microglia,Thalamus
-2.235831,0.35405463,Endothelial,Pons
3.4683576,4.1326437,Activated Microglia,Midbrain
-2.9995847,1.2710134,Endothelial,Pons
14.034401,2.1089578,Astrocyte,Midbrain
2.6816893,13.481029,Astrocyte_2,Cerebral cortex
-1.529814,13.5742445,Pericyte,Thalamus
3.401855,15.10702,Astrocyte_2,Hippocampus
