source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CGE interneuron,Hippocampal dentate gyrus,EFNB2,EPHA4,3.2425723,0.0,8.44325,0.2352403810665551,0.2779221703432895,0.02216822,0.8462321,0.2880311477120485,0.4797593886461614
Upper-layer intratelencephalic,Hippocampal dentate gyrus,EFNA5,EPHA3,3.319755,0.0,6.58717,0.1935164869109794,0.12188783781365853,0.01658378,0.82937837,1.0,0.4797593886461614
CGE interneuron,Hippocampal dentate gyrus,EFNA5,EPHA4,4.314905,0.0,18.483885,0.26253102693728125,0.20872807169107732,0.022747796,0.89062256,0.24331141593575065,0.48020320004009165
Astrocyte_2,Hippocampal CA1-3,EFNB2,EPHA6,3.6964555,0.0,6.582763,0.1203968516246966,0.45875766334559653,0.012779001,0.829331,1.0,0.48275160086280866
MGE interneuron,CGE interneuron,EFNB2,GRM5,3.6047194,0.0,9.494673,0.058529650480052736,-0.00017160896991663677,0.016928505,0.85371387,1.0,0.48275160086280866
MGE interneuron,Astrocyte_2,EFNA5,EPHA4,3.2388852,1.0,8.78005,-0.13050178277365118,-0.4736078768855534,0.010805455,0.84875983,1.0,0.48275160086280866
Upper-layer intratelencephalic,CGE interneuron,EFNA5,EPHA4,4.308323,0.0,17.31386,0.2525427390306527,0.210670685841027,0.021307867,0.8873966,0.35593859566336966,0.4840434526635232
Hippocampal dentate gyrus,Hippocampal dentate gyrus,CNTN6,PTPRG,3.279779,0.922,6.5722556,-0.020436238320923956,-0.33734820319709913,0.013202211,0.8292179,1.0,0.48575622870821844
CGE interneuron,MGE interneuron,VEGFA,NRP1,0.84272105,1.0,0.64426357,-0.23135943881407936,-1.3166594352273358,0.006458176,0.6032062,1.0,0.48777384752977365
Deep-layer intratelencephalic,Upper-layer intratelencephalic,EFNA5,EPHA7,4.2991295,0.0,16.77087,0.3015142304103508,0.1669904457750513,0.02283229,0.88579476,0.2732949077482183,0.487895014846085
Hippocampal dentate gyrus,Astrocyte,NRG1,HLA-DPB1,3.3608155,0.0,9.56159,0.7243550195984856,2.8784927472068897,0.10487536,0.85415184,0.0042398623205164776,0.48877345790943505
CGE interneuron,Deep-layer intratelencephalic,EFNB2,EPHA4,3.217874,0.0,8.354165,0.22628846040851375,0.2129548190838979,0.021934321,0.84554076,0.30335544525648844,0.48877345790943505
CGE interneuron,Deep-layer intratelencephalic,EFNA5,EPHA4,4.290207,0.0,18.288862,0.2535791062792399,0.14376072043168575,0.022507785,0.8901048,0.3165860372196211,0.4917576313204134
Upper-layer intratelencephalic,Deep-layer intratelencephalic,EFNB2,EPHA4,3.3492718,0.0,9.5715065,0.2855620030948452,0.14828933235766462,0.025130518,0.8542164,0.3059677483378493,0.4918029947875677
Astrocyte,Astrocyte,MRC1,PTPRC,3.4509082,0.0,6.492986,1.5633077980986205,6.780170469285679,0.56840366,0.828357,1.4574422802958132e-06,0.4948450244104653
MGE interneuron,Hippocampal dentate gyrus,EFNB2,EPHA4,3.207874,0.0,8.118358,0.21958808820384848,0.2042937494785919,0.021315197,0.8436618,0.35301208624440544,0.4948450244104653
MGE interneuron,Hippocampal dentate gyrus,SLIT3,ROBO2,3.7283134,1.0,9.572217,-0.11646020753535748,-1.008797858675413,0.010517041,0.85422105,1.0,0.4948450244104653
MGE interneuron,Astrocyte,VEGFA,NRP1,0.80800605,1.0,0.64493465,-0.22775992859970787,-0.6234117885224835,0.0064649032,0.60333073,1.0,0.49676748332603865
Upper-layer intratelencephalic,Hippocampal dentate gyrus,EFNB2,EPHA4,3.3739698,0.0,9.673572,0.29451392375288654,0.2132566836170562,0.025398497,0.8548756,0.22822701297250764,0.5009668273826648
Hippocampal CA1-3,MGE interneuron,EFNB2,EPHA6,4.282949,0.0,16.531322,0.4321567616236309,0.7279904869641167,0.03209196,0.88506496,0.11817595395266588,0.5034121095697073
Hippocampal CA1-3,Deep-layer intratelencephalic,CNTN6,PTPRG,3.7340362,0.0,9.678058,0.16632275132702964,-0.03758776570615785,0.019441081,0.85490435,0.6695784551916799,0.5040464901351389
Astrocyte_2,Hippocampal dentate gyrus,EFNB2,EPHA6,3.613584,0.0,6.4111466,0.09375259626825871,0.2770824779548109,0.012445844,0.8274533,1.0,0.5040464901351389
